Địa chỉ,Phường/Xã/Thị trấn,Quận/Huyện,Diện tích (m²),Mức giá (tỷ),Giá tiền (triệu/m²),Mặt tiền(m),Đường vào(m),Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất
"Đường Đại Kim, Phường Đại Kim, Hoàng Mai, Hà Nội",Phường Đại Kim,Hoàng Mai,62,20.5,330.64,4,8,,,4,6,4,Đã có sổ đỏ,Cơ bản.
"Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội",Phường Nhật Tân,Tây Hồ,10,15.5,147.62,4.1,5,,,5,4,4,Đã có sổ đỏ,Cơ bản
"Ngõ An Trạch 1, Phố An Trạch, Phường Quốc Tử Giám, Đống Đa, Hà Nội",Phường Quốc Tử Giám,Đống Đa,48,8.8,183.33,4.7,,Đông,Đông,4,4,3,Đã có sổ đỏ,Đầy đủ
"Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",Phường Cổ Nhuế 2,Bắc Từ Liêm,55,6.4,116.36,,,,,,,,Đã có sổ đỏ,
"Thị trấn Trạm Trôi, Hoài Đức, Hà Nội",Thị trấn Trạm Trôi,Hoài Đức,30,4.2,140,6.3,3.5,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Kim Ngưu, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Phường Vĩnh Tuy,Hai Bà Trưng,52,6.95,133.65,5.1,,,,4,3,3,Đã có sổ đỏ,Đầy đủ
"Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội",Phường Khương Đình,Thanh Xuân,55,8.25,150,4,,Nam,Nam,5,6,4,Đã có sổ đỏ,Đầy đủ
"Đường Kiến Hưng, Phường Kiến Hưng, Hà Đông, Hà Nội",Phường Kiến Hưng,Hà Đông,50,11,220,5,,,,5,,,Đã có sổ đỏ,
"Đường Nguyễn Chí Thanh, Phường Cát Linh, Đống Đa, Hà Nội.",Phường Cát Linh,Đống Đa,45,12.9,286.67,4.5,,,,5,4,3,Đã có sổ đỏ,Cơ bản
"Đường Triều Khúc, Xã Tân Triều, Thanh Trì, Hà Nội",Xã Tân Triều,Thanh Trì,30,4.9,163.33,3.5,,,,5,,,Đã có sổ đỏ,
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",Phường Trung Liệt,Đống Đa,45,8.6,191.11,,,,,,4,,Đã có sổ đỏ,Cơ bản
"Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội",Phường Nhật Tân,Tây Hồ,55,12,218.18,4.2,4,,,7,4,5,Đã có sổ đỏ,
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,60,15,250,,,,,6,,,Đã có sổ đỏ,
"Phố Chùa Quỳnh, Phường Quỳnh Lôi, Hai Bà Trưng, Hà Nội",Phường Quỳnh Lôi,Hai Bà Trưng,40,6.2,155,4.1,3,,,5,3,4,Đã có sổ đỏ,
"Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",Phường Thanh Xuân Nam,Thanh Xuân,52,12.99,246.49,4,5.2,,,4,4,3,Đã có sổ đỏ,Đầy đủ
"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",Phường Nghĩa Tân,Cầu Giấy,61,19.8,324.59,7,,,,5,6,6,Đã có sổ đỏ,Đầy đủ
"Ngõ 61, Phố Lạc Trung, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Phường Vĩnh Tuy,Hai Bà Trưng,70,20,285.71,4.5,,,,4,,,Đã có sổ đỏ,
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",Phường Nhân Chính,Thanh Xuân,45,13.2,293.33,4.5,6,,,4,4,4,Đã có sổ đỏ,Cơ bản
"Xã Cao Viên, Thanh Oai, Hà Nội",Xã Cao Viên,Thanh Oai,31,2.2,70.97,,,,,3,,,Đã có sổ đỏ,
"Ngõ 345, Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,29,4.38,151.03,4.2,2,Đông - Nam,Đông - Nam,4,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,60,15,250,,,,,6,,,Đã có sổ đỏ,
"Phố Chùa Quỳnh, Phường Quỳnh Lôi, Hai Bà Trưng, Hà Nội",Phường Quỳnh Lôi,Hai Bà Trưng,40,6.2,155,4.1,3,,,5,3,4,Đã có sổ đỏ,
"Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",Phường Thanh Xuân Nam,Thanh Xuân,52,12.99,246.49,4,5.2,,,4,4,3,Đã có sổ đỏ,Đầy đủ
"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",Phường Nghĩa Tân,Cầu Giấy,61,19.8,324.59,7,,,,5,6,6,Đã có sổ đỏ,Đầy đủ
"Ngõ 61, Phố Lạc Trung, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Phường Vĩnh Tuy,Hai Bà Trưng,70,20,285.71,4.5,,,,4,,,Đã có sổ đỏ,
